期号	红球1	红球2	红球3	红球4	红球5	红球6
2017035	1	6	14	24	28	32
2017036	1	2	5	10	24	27
2017037	11	15	20	22	25	30
2017038	1	4	8	13	24	27
2017039	2	4	12	14	17	24
2017040	15	19	23	28	29	33
2017041	4	10	13	15	22	27
2017042	1	2	4	7	10	23
2017043	8	13	16	23	27	31
2017044	8	16	19	21	31	32
2017045	5	7	16	20	21	25
2017046	4	13	14	23	26	32
2017047	2	5	8	10	32	33
2017048	5	8	9	14	15	19
2017049	1	8	14	15	20	29
2017050	10	12	20	24	27	29
2017051	2	5	9	15	24	25
2017052	7	8	18	24	29	31
2017053	4	9	11	15	29	31
2017054	2	3	9	23	28	33
2017055	7	12	13	20	24	31
2017056	13	14	18	19	21	28
2017057	18	20	22	23	30	31
2017058	1	9	13	22	28	32
2017059	4	8	9	15	19	25
2017060	5	10	13	24	26	31
2017061	6	7	12	20	26	27
2017062	1	7	22	24	26	31
2017063	12	16	20	22	25	31
2017064	2	10	16	22	24	28
2017065	2	5	8	10	12	21
2017066	1	4	6	17	19	26
2017067	1	3	4	10	18	29
2017068	2	6	10	22	30	31
2017069	2	11	12	23	29	31
2017070	1	6	14	22	25	26
2017071	2	3	6	14	31	32
2017072	6	11	14	23	26	30
2017073	3	6	16	23	26	30
2017074	2	6	16	23	30	31
2017075	1	3	6	19	21	29
2017076	1	4	8	9	14	15
2017077	1	2	4	15	17	22
2017078	5	7	18	19	22	24
2017079	3	7	14	23	25	27
2017080	1	12	16	20	22	24
2017081	3	5	14	25	26	30
2017082	14	18	21	25	28	29
2017083	3	8	14	20	24	26
2017084	1	5	11	20	22	24
2017085	1	5	6	16	25	30
2017086	3	5	6	13	20	22
2017087	3	6	13	14	19	28
2017088	7	9	18	22	23	29
2017089	11	12	13	16	23	25
2017090	1	7	10	16	22	33
2017091	5	7	10	23	28	29
2017092	10	18	19	29	32	33
2017093	7	8	9	15	22	27
2017094	8	11	13	19	28	31
2017095	9	10	12	19	22	29
2017096	2	6	11	12	19	29
2017097	5	10	18	19	30	31
2017098	4	19	22	27	30	33
2017099	2	5	6	16	28	29
2017100	4	7	8	18	23	24
2017101	1	4	11	28	31	32
2017102	4	8	10	14	18	20
2017103	1	21	23	25	31	33
2017104	1	14	15	20	23	30
2017105	3	6	7	12	25	26
2017106	12	15	20	25	27	31
2017107	8	9	15	17	30	32
2017108	7	12	14	15	17	20
2017109	8	14	16	18	21	23
2017110	1	3	12	15	19	23
2017111	5	10	17	19	29	32
2017112	3	10	14	16	22	23
2017113	4	6	16	27	29	33
2017114	6	12	13	15	18	26
2017115	4	10	11	25	30	31
2017116	2	14	20	22	30	32
2017117	1	2	8	11	14	21
2017118	8	9	15	22	30	33
2017119	9	16	21	25	26	31
2017120	8	10	15	19	23	28
2017121	11	18	19	22	24	32
2017122	11	20	21	22	24	27
2017123	4	5	6	11	21	31
2017124	2	6	11	26	28	29
2017125	1	14	23	25	29	30
2017126	1	16	17	21	27	30
2017127	14	15	21	24	27	32
2017128	2	6	13	22	29	31
2017129	5	6	9	14	21	33
2017130	5	13	14	23	25	31
2017131	1	7	10	11	26	27
2017132	2	3	5	9	13	28
2017133	6	15	17	18	23	30
2017134	4	5	11	14	28	32
2017135	1	6	7	14	18	26
2017136	3	7	10	18	21	24
2017137	5	10	20	23	26	31
2017138	1	17	24	28	32	33
2017139	2	14	20	24	28	32
2017140	21	22	25	28	29	30
2017141	1	6	7	11	13	15
2017142	8	13	14	18	23	33
2017143	4	6	9	14	20	29
2017144	3	14	16	20	31	32
2017145	2	6	12	17	25	28
2017146	1	19	25	26	27	33
2017147	3	7	20	21	25	31
2017148	4	7	11	14	29	32
2017149	5	8	15	20	27	30
2017150	6	14	19	20	21	23
2017151	2	5	7	9	11	27
2017152	6	10	23	25	26	29
2017153	7	11	12	13	18	19
2017154	5	9	13	15	18	26
